City citipy;Country code citipy;Country;City ID;City;Country Abbreviation;Longitude;Latitude;Temperature;Humidity;Wind;Clouds
Moundou;TD;Chad;2427455;Moundou;TD;16.07;8.57;25.35;44;2.07;0
Dickinson;US;United states of america;5688789;Dickinson;US;-102.79;46.88;6.7;46;4.6;1
Abha;SA;Saudi arabia;110690;Abha;SA;42.5;18.22;14.03;100;0.22;0
Natitingou;BJ;Benin;2392601;Natitingou;BJ;1.38;10.31;31.0;14;1.5;0
Muzhi;RU;Russian federation;1498161;Muzhi;RU;64.7;65.4;-24.76;60;2.62;0
Banamba;ML;Mali;2460546;Banamba;ML;-7.45;13.55;28.35;22;2.07;76
Albenga;IT;Italy;6539671;Albenga;IT;8.22;44.05;8.44;23;3.1;0
Krasnyy yar;RU;Russian federation;541344;Krasnyy Yar;RU;44.73;50.7;-16.98;70;2.92;12
Grand-santi;GF;French guiana;3381538;Grand-Santi;GF;-54.38;4.27;28.37;66;1.52;56
Aviles;ES;Spain;3129135;Aviles;ES;-5.92;43.55;6.0;75;4.1;20
Balkanabat;TM;Turkmenistan;161616;Balkanabat;TM;54.36;39.51;-1.11;96;1.52;24
Shimanovsk;RU;Russian federation;2016701;Shimanovsk;RU;127.67;52.0;-27.43;49;1.27;8
Zhanaozen;KZ;Kazakhstan;607610;Zhanaozen;KZ;52.85;43.35;-0.86;97;2.07;80
Calamar;CO;Colombia;3687975;Calamar;CO;-72.65;1.96;33.25;40;2.52;68
Hambantota;LK;Sri lanka;1244926;Hambantota;LK;81.12;6.12;26.0;88;5.1;75
Santa maria;CV;Cabo verde;3374218;Santa Maria;CV;-22.9;16.6;23.0;64;6.7;0
Guamuchil;MX;Mexico;4005297;Guamuchil;MX;-108.1;25.47;25.75;69;2.17;20
Churapcha;RU;Russian federation;2025241;Churapcha;RU;132.43;62.0;-40.63;90;1.32;32
Bandarbeyla;SO;Somalia;64814;Bandarbeyla;SO;50.81;9.49;24.92;100;8.97;8
Roskovec;AL;Albania;3184290;Roskovec;AL;19.7;40.74;3.72;93;2.42;92
Lingao;CN;China;1803560;Lingao;CN;109.69;19.91;20.42;99;2.22;56
San andres;CO;Colombia;7522928;San Andres;CO;-76.58;8.22;30.0;66;5.1;20
Melioratorov;RU;Russian federation;1499042;Melioratorov;RU;65.61;57.21;-13.0;92;2.0;90
Bonavista;CA;Canada;5905393;Bonavista;CA;-53.11;48.65;5.07;82;5.37;48
Bridlington;GB;United kingdom of great britain and northern ireland;2654728;Bridlington;GB;-0.19;54.08;7.73;87;2.1;88
Umm kaddadah;SD;Sudan;364933;Umm Kaddadah;SD;26.69;13.6;17.9;40;4.12;0
Ahome;MX;Mexico;4019098;Ahome;MX;-109.18;25.92;23.0;53;2.6;40
Tuktoyaktuk;CA;Canada;6170031;Tuktoyaktuk;CA;-133.03;69.44;-38.0;65;3.6;40
Marrakesh;MA;Morocco;2542997;Marrakesh;MA;-7.99;31.63;12.0;37;1.5;0
Olga;RU;Russian federation;2018553;Olga;RU;135.29;43.74;-10.28;40;3.32;0
Zhezkazgan;KZ;Kazakhstan;1516589;Zhezkazgan;KZ;67.71;47.8;-20.26;64;4.07;8
Todos santos;MX;Mexico;3981432;Todos Santos;MX;-110.23;23.45;23.51;73;2.1;5
Vega de alatorre;MX;Mexico;3514843;Vega de Alatorre;MX;-96.65;20.03;20.07;94;2.87;12
Nyurba;RU;Russian federation;2018735;Nyurba;RU;118.35;63.29;-22.16;77;1.37;64
Bilma;NE;Niger;2446796;Bilma;NE;12.92;18.69;14.37;37;1.97;0
Ponta delgada;PT;Portugal;3372783;Ponta Delgada;PT;-25.67;37.73;14.0;71;6.2;20
San patricio;MX;Mexico;3985168;San Patricio;MX;-104.7;19.22;26.77;75;1.42;0
Yerky;UA;Ukraine;701075;Yerky;UA;33.53;49.93;-1.86;94;3.47;92
Ewa beach;US;United states of america;5855051;Ewa Beach;US;-158.01;21.32;22.69;66;2.1;90
Banff;CA;Canada;5892532;Banff;CA;-115.57;51.18;-11.36;75;0.87;0
Kodiak;US;United states of america;4407665;Kodiak;US;-94.76;39.95;1.18;54;4.6;1
Emborion;GR;Greece;736324;Emborion;GR;21.55;40.48;3.22;77;4.27;0
Khuzhir;RU;Russian federation;2022143;Khuzhir;RU;107.35;53.19;-19.61;70;0.67;0
Findhorn;GB;United kingdom of great britain and northern ireland;2649438;Findhorn;GB;-3.61;57.66;8.0;81;5.7;75
Phenix city;US;United states of america;4082866;Phenix City;US;-85.0;32.47;9.6;28;5.7;1
Oakville;US;United states of america;4880620;Oakville;US;-91.04;41.1;-3.28;53;2.6;1
Zhaodong;CN;China;2033168;Zhaodong;CN;125.99;46.07;-21.0;76;1.0;0
Vidim;RU;Russian federation;2013406;Vidim;RU;103.11;56.41;-7.98;92;2.47;68
Charlestown;KN;Saint kitts and nevis;3575479;Charlestown;KN;-62.62;17.13;27.48;54;4.6;20
Pangody;RU;Russian federation;1495626;Pangody;RU;74.49;65.85;-32.53;41;1.42;24
Ribeira grande;PT;Portugal;3372707;Ribeira Grande;PT;-28.7;38.52;14.0;67;7.2;40
Kidal;ML;Mali;2455290;Kidal;ML;1.41;18.44;18.37;26;1.22;0
Aransas pass;US;United states of america;4671141;Aransas Pass;US;-97.15;27.91;18.03;66;4.6;1
Ust-ilimsk;RU;Russian federation;2013952;Ust-Ilimsk;RU;102.73;57.96;-8.08;71;2.97;76
Hinton;CA;Canada;5975503;Hinton;CA;-117.57;53.4;-9.33;92;1.67;0
Eyemouth;GB;United kingdom of great britain and northern ireland;2649784;Eyemouth;GB;-2.09;55.87;9.0;70;6.2;8
Fereydun kenar;IR;Iran (islamic republic of);134602;Fereydun Kenar;IR;52.52;36.69;4.33;93;2.1;0
Tokur;RU;Russian federation;2015217;Tokur;RU;132.9;53.13;-32.16;36;1.07;0
Roswell;US;United states of america;5488441;Roswell;US;-104.52;33.39;11.04;48;3.1;1
Rockland;US;United states of america;4948924;Rockland;US;-70.92;42.13;0.37;55;8.7;80
Zaltan;LY;Libya;2208655;Zaltan;LY;11.87;32.95;12.82;90;3.62;0
Apastovo;RU;Russian federation;581359;Apastovo;RU;48.51;55.2;-10.0;92;3.0;90
Zhezkazgan;KZ;Kazakhstan;1516589;Zhezkazgan;KZ;67.71;47.8;-20.26;64;4.07;8
Waverly;US;United states of america;4792494;Waverly;US;-77.1;37.04;3.96;34;6.2;1
Buta;CD;Congo (democratic republic of the);217570;Buta;CD;24.73;2.79;29.12;40;2.42;0
Wattegama;LK;Sri lanka;1241622;Wattegama;LK;80.68;7.35;20.85;92;1.67;24
Ilmenau;DE;Germany;2896514;Ilmenau;DE;10.91;50.69;-2.0;79;2.6;75
Turukhansk;RU;Russian federation;1488903;Turukhansk;RU;87.96;65.8;-32.01;77;4.07;56
Kula;TR;Turkey;305810;Kula;TR;28.65;38.55;7.9;78;4.97;92
Stabat;ID;Indonesia;1213655;Stabat;ID;98.46;3.76;22.52;94;1.02;56
Kaitong;CN;China;2036338;Kaitong;CN;123.15;44.81;-17.03;61;1.32;0
Nandgaon;IN;India;1261971;Nandgaon;IN;74.66;20.31;12.82;73;2.57;0
West wendover;US;United states of america;5710035;West Wendover;US;-114.07;40.74;2.8;78;2.6;90
Hyvinkaa;FI;Finland;656913;Hyvinkaa;FI;24.87;60.63;-5.0;100;3.6;75
Pevek;RU;Russian federation;2122090;Pevek;RU;170.27;69.7;-12.83;72;9.92;0
Starkville;US;United states of america;4447161;Starkville;US;-88.82;33.45;7.47;42;4.1;1
San jeronimo;MX;Mexico;3982846;San Jeronimo;MX;-110.79;29.37;16.0;93;1.97;90
Pryshyb;UA;Ukraine;693468;Pryshyb;UA;37.65;49.02;-1.63;96;6.82;92
La seyne-sur-mer;FR;France;3006414;La Seyne-sur-Mer;FR;5.88;43.1;4.34;51;2.1;0
Tongren;CN;China;1792592;Tongren;CN;109.18;27.72;0.87;100;1.32;92
Matara;LK;Sri lanka;1235846;Matara;LK;80.54;5.95;25.25;100;1.07;12
Bulgan;MN;Mongolia;2032201;Bulgan;MN;103.53;48.81;-22.11;40;1.07;0
Saint-francois;GP;Guadeloupe;3578441;Saint-Francois;GP;-61.27;16.25;27.0;65;5.7;75
Williston;US;United states of america;5692947;Williston;US;-103.62;48.15;-1.08;59;3.1;1
Eureka;US;United states of america;5563397;Eureka;US;-124.16;40.8;14.2;66;3.6;90
Lagoa;PT;Portugal;2267254;Lagoa;PT;-8.45;37.14;13.0;71;4.1;0
Petropavlovsk-kamchatskiy;RU;Russian federation;2122104;Petropavlovsk-Kamchatskiy;RU;158.65;53.05;-18.0;77;3.0;8
Iranshahr;IR;Iran (islamic republic of);1160939;Iranshahr;IR;60.69;27.21;18.0;52;2.1;0
Nemuro;JP;Japan;2128975;Nemuro;JP;145.57;43.32;-1.18;100;11.32;20
Igboho;NG;Nigeria;2338711;Igboho;NG;3.76;8.84;29.62;40;1.22;0
Pundaguitan;PH;Philippines;1698289;Pundaguitan;PH;126.17;6.37;24.22;100;3.07;92
Camacha;PT;Portugal;2270385;Camacha;PT;-16.33;33.08;16.0;59;1.5;75
Ixtapa;MX;Mexico;4004293;Ixtapa;MX;-105.21;20.71;28.0;65;4.1;5
Douglas;US;United states of america;4191916;Douglas;US;-82.85;31.51;11.18;30;4.6;1
Khowai;IN;India;1266649;Khowai;IN;91.6;24.08;11.77;90;1.57;0
Anshun;CN;China;1817968;Anshun;CN;105.93;26.25;10.57;97;2.32;92
Takoradi;GH;Ghana;2294915;Takoradi;GH;-1.75;4.89;28.62;98;3.67;0
Mama;RU;Russian federation;2020313;Mama;RU;112.9;58.31;-8.36;73;2.52;76
Estelle;US;United states of america;4671240;Estelle;US;-97.01;32.87;9.98;39;3.6;90
Woodward;US;United states of america;4556050;Woodward;US;-99.39;36.43;12.64;40;7.2;75
Muros;ES;Spain;3115824;Muros;ES;-9.06;42.77;8.08;75;3.6;0
Bay roberts;CA;Canada;5895424;Bay Roberts;CA;-53.28;47.58;5.0;100;5.1;90
Nantucket;US;United states of america;4944903;Nantucket;US;-70.1;41.28;1.32;53;5.1;90
Shimanovsk;RU;Russian federation;2016701;Shimanovsk;RU;127.67;52.0;-27.43;49;1.27;8
Teguldet;RU;Russian federation;1489822;Teguldet;RU;88.17;57.31;-18.18;67;2.27;36
Barabinsk;RU;Russian federation;1510916;Barabinsk;RU;78.35;55.35;-22.01;63;2.12;36
Jiaxing;CN;China;1805953;Jiaxing;CN;120.75;30.76;6.0;100;2.0;75
Cacheu;GW;Guinea-bissau;2374311;Cacheu;GW;-16.16;12.27;27.82;73;2.1;0
Kortkeros;RU;Russian federation;544397;Kortkeros;RU;51.56;61.81;-17.0;91;2.0;75
Hegang;CN;China;2036986;Hegang;CN;130.28;47.34;-19.26;72;1.77;0
Abu dhabi;AE;United arab emirates;292968;Abu Dhabi;AE;54.37;24.47;20.48;64;6.2;20
Whitehorse;CA;Canada;6180550;Whitehorse;CA;-135.06;60.72;-28.0;75;2.1;75
Chernyshevskiy;RU;Russian federation;2025456;Chernyshevskiy;RU;112.47;63.01;-18.26;75;1.87;56
Krivosheino;RU;Russian federation;1501795;Krivosheino;RU;83.93;57.34;-26.61;47;2.17;0
Peniche;PT;Portugal;2264923;Peniche;PT;-9.38;39.36;12.61;62;4.1;0
Bondo;CD;Congo (democratic republic of the);218253;Bondo;CD;23.69;3.81;28.22;44;2.07;0
Yarmouth;CA;Canada;6185217;Yarmouth;CA;-66.12;43.84;1.0;74;7.2;75
Porto torres;IT;Italy;3170069;Porto Torres;IT;8.4;40.84;3.0;86;1.0;0
Aswan;EG;Egypt;359792;Aswan;EG;32.9;24.09;10.4;70;3.62;24
Deputatskiy;RU;Russian federation;2028164;Deputatskiy;RU;139.9;69.3;-33.16;41;1.47;44
Russkaya polyana;RU;Russian federation;1493423;Russkaya Polyana;RU;73.88;53.78;-19.76;77;1.52;36
Taoudenni;ML;Mali;2450173;Taoudenni;ML;-3.98;22.68;15.62;24;1.82;0
Sur;OM;Oman;286245;Sur;OM;59.53;22.57;22.85;100;1.07;8
Sai buri;TH;Thailand;1606851;Sai Buri;TH;101.62;6.7;25.17;87;2.12;68
Kaseda;JP;Japan;1859964;Kaseda;JP;130.32;31.42;13.37;100;7.12;88
Jieshi;CN;China;1805857;Jieshi;CN;115.83;22.82;16.72;97;3.97;92
Dehui;CN;China;2037712;Dehui;CN;125.71;44.53;-16.0;77;2.0;0
Cherskiy;RU;Russian federation;2126199;Cherskiy;RU;161.3;68.75;-22.76;33;1.52;0
Haapsalu;EE;Estonia;592225;Haapsalu;EE;23.55;58.95;-4.0;92;3.6;90
Ahmadpur sial;PK;Pakistan;1356491;Ahmadpur Sial;PK;71.77;30.68;16.0;67;2.1;75
Dingwall;GB;United kingdom of great britain and northern ireland;2651245;Dingwall;GB;-4.43;57.6;8.0;87;5.7;75
Hilton head island;US;United states of america;4581833;Hilton Head Island;US;-80.75;32.16;11.17;34;5.7;1
Abu kamal;SY;Syrian arab republic;174448;Abu Kamal;SY;40.92;34.45;3.82;78;3.22;0
Khandyga;RU;Russian federation;2022773;Khandyga;RU;135.58;62.65;-42.36;0;1.17;20
Huntington;US;United states of america;5121636;Huntington;US;-73.43;40.87;0.96;39;9.3;20
Araouane;ML;Mali;2460954;Araouane;ML;-3.53;18.9;19.92;24;1.32;8
Scarborough;GB;United kingdom of great britain and northern ireland;2638419;Scarborough;GB;-0.41;54.28;7.77;87;2.1;80
Geraldton;CA;Canada;5960603;Geraldton;CA;-86.95;49.72;-19.0;49;1.0;75
That phanom;TH;Thailand;1605483;That Phanom;TH;104.73;16.94;23.0;72;3.52;0
Kudat;MY;Malaysia;1736458;Kudat;MY;116.84;6.89;27.0;83;2.1;75
Marsh harbour;BS;Bahamas;3571913;Marsh Harbour;BS;-77.06;26.54;22.1;100;6.42;0
Kropotkin;RU;Russian federation;540761;Kropotkin;RU;40.58;45.43;-0.76;73;5.02;76
Cherkasskoye;RU;Russian federation;569170;Cherkasskoye;RU;47.21;52.43;-14.03;79;1.47;64
Moses lake;US;United states of america;5803990;Moses Lake;US;-119.28;47.13;1.7;95;1.5;90
Slave lake;CA;Canada;6149374;Slave Lake;CA;-114.77;55.28;-12.0;78;6.7;20
Thompson;CA;Canada;6165406;Thompson;CA;-97.86;55.74;-21.0;76;2.1;90
Kudahuvadhoo;MV;Maldives;1337607;Kudahuvadhoo;MV;72.89;2.67;25.07;100;3.47;56
Anaco;VE;Venezuela (bolivarian republic of);3486270;Anaco;VE;-64.46;9.43;32.42;36;5.57;36
Aviles;ES;Spain;3129135;Aviles;ES;-5.92;43.55;6.0;75;4.1;20
Tommot;RU;Russian federation;2015179;Tommot;RU;126.27;58.97;-19.61;70;1.52;76
Staryy nadym;RU;Russian federation;1490918;Staryy Nadym;RU;72.68;65.61;-30.58;68;2.57;20
Vitim;RU;Russian federation;2013375;Vitim;RU;112.57;59.44;-7.66;77;2.87;68
Oum hadjer;TD;Chad;2426370;Oum Hadjer;TD;19.7;13.3;23.37;45;1.97;0
Mamakan;RU;Russian federation;2020311;Mamakan;RU;114.02;57.82;-8.98;72;2.47;56
Olga;RU;Russian federation;2018553;Olga;RU;135.29;43.74;-10.28;40;3.32;0
Ourossogui;SN;Senegal;2246922;Ouro Sogui;SN;-13.32;15.61;26.0;34;1.87;0
Davila;PH;Philippines;1715335;Davila;PH;120.58;18.47;22.0;94;1.0;20
Jalingo;NG;Nigeria;2351027;Jalingo;NG;10.93;10.3;25.02;35;2.12;0
Baruun-urt;MN;Mongolia;2032614;Baruun-Urt;MN;113.28;46.68;-17.78;67;6.17;0
Bouza;NE;Niger;2446466;Bouza;NE;6.04;14.42;23.77;47;1.42;0
Cabo san lucas;MX;Mexico;3985710;Cabo San Lucas;MX;-109.91;22.89;23.54;73;2.1;5
Roura;GF;French guiana;3380450;Roura;GF;-52.33;4.73;28.0;69;4.6;75
Road town;VG;Virgin islands (british);3577430;Road Town;VG;-64.62;18.42;27.89;65;4.1;20
Adilabad;IN;India;1279344;Adilabad;IN;78.53;19.68;12.35;72;1.97;0
Muros;ES;Spain;3115824;Muros;ES;-9.06;42.77;8.08;75;3.6;0
Erdenet;MN;Mongolia;2031405;Erdenet;MN;104.04;49.03;-26.01;38;1.17;0
Novaya igirma;RU;Russian federation;2019004;Novaya Igirma;RU;103.93;57.14;-7.88;83;3.12;64
Lulea;SE;Sweden;604490;Lulea;SE;22.15;65.58;0.0;87;6.7;0
Meadow lake;CA;Canada;6071421;Meadow Lake;CA;-108.44;54.13;-14.0;77;3.1;90
Bosaso;SO;Somalia;64013;Bosaso;SO;49.18;11.28;23.47;100;3.32;8
Black river;JM;Jamaica;3491355;Black River;JM;-77.85;18.03;28.0;65;3.1;20
Fuzhou;CN;China;1810821;Fuzhou;CN;119.3;26.08;13.0;93;2.0;90
Oum hadjer;TD;Chad;2426370;Oum Hadjer;TD;19.7;13.3;23.37;45;1.97;0
Jieshi;CN;China;1805857;Jieshi;CN;115.83;22.82;16.72;97;3.97;92
Yatou;CN;China;1783956;Yatou;CN;104.32;33.81;-11.08;79;0.97;0
Porto novo;CV;Cabo verde;3374336;Porto Novo;CV;-25.06;17.02;25.0;47;12.3;0
Bubaque;GW;Guinea-bissau;2374583;Bubaque;GW;-15.83;11.28;30.42;77;1.47;0
Quang ngai;VN;Viet nam;1568770;Quang Ngai;VN;108.8;15.12;19.57;100;1.07;92
Rosarito;MX;Mexico;3980161;Rosarito;MX;-109.91;27.04;23.0;60;4.6;75
Churapcha;RU;Russian federation;2025241;Churapcha;RU;132.43;62.0;-40.63;90;1.32;32
Naze;JP;Japan;1855540;Naze;JP;129.48;28.37;17.9;100;3.87;68
Aktau;KZ;Kazakhstan;610612;Aktau;KZ;51.16;43.65;-2.0;100;3.0;90
Gasa;BT;Bhutan;1252578;Gasa;BT;89.73;27.91;-31.88;21;0.12;0
Changde;CN;China;1791121;Changde;CN;111.68;29.04;1.92;100;1.62;92
Tianpeng;CN;China;1797543;Tianpeng;CN;112.34;28.88;3.57;100;2.87;92
Santa maria del oro;MX;Mexico;3984078;Santa Maria del Oro;MX;-105.37;25.95;17.85;57;1.67;0
Las cruces;US;United states of america;5475352;Las Cruces;US;-106.78;32.31;11.52;49;1.5;75
Puerto madero;MX;Mexico;3520989;Puerto Madero;MX;-92.42;14.72;30.0;66;4.1;40
Doembang nangbuat;TH;Thailand;1620010;Doembang Nangbuat;TH;100.1;14.85;21.72;96;1.12;24
Haimen;CN;China;1801200;Haimen;CN;121.18;31.87;5.72;100;3.27;92
Makakilo city;US;United states of america;5850554;Makakilo City;US;-158.09;21.35;22.69;66;2.1;90
Komsomolskiy;RU;Russian federation;1486910;Komsomolskiy;RU;63.78;67.55;-26.68;47;3.67;32
Farmington;US;United states of america;5467328;Farmington;US;-108.21;36.73;2.52;64;1.87;75
Boa vista;BR;Brazil;3664980;Boa Vista;BR;-60.67;2.82;33.0;36;7.2;75
Suluq;LY;Libya;81604;Suluq;LY;20.25;31.67;8.67;70;2.67;0
Montmagny;CA;Canada;6325529;Montmagny;CA;-70.56;46.98;-1.0;63;2.6;75
Mantua;CU;Cuba;3547930;Mantua;CU;-84.28;22.29;24.37;64;3.37;0
Koutiala;ML;Mali;2454268;Koutiala;ML;-5.46;12.39;28.52;28;1.62;0
Magadan;RU;Russian federation;2123628;Magadan;RU;150.8;59.56;-17.08;100;4.27;0
Honolulu;US;United states of america;5856195;Honolulu;US;-157.86;21.3;22.69;66;2.57;40
Ilmenau;DE;Germany;2896514;Ilmenau;DE;10.91;50.69;-2.0;79;2.6;75
Matagami;CA;Canada;6067747;Matagami;CA;-77.63;49.76;-22.0;83;9.8;90
Elko;US;United states of america;5703670;Elko;US;-115.76;40.83;0.6;100;2.1;90
Sosnovo-ozerskoye;RU;Russian federation;2016216;Sosnovo-Ozerskoye;RU;111.54;52.53;-22.98;45;1.42;0
Havelock;US;United states of america;4470244;Havelock;US;-76.9;34.88;5.23;36;8.2;1
Okha;RU;Russian federation;2122614;Okha;RU;142.95;53.59;-12.61;91;11.07;80
Dingle;IE;Ireland;2964782;Dingle;IE;-10.27;52.14;10.0;100;0.5;90
Ukiah;US;United states of america;5404476;Ukiah;US;-123.21;39.15;12.2;74;1.5;40
Aklavik;CA;Canada;5882953;Aklavik;CA;-135.01;68.22;-33.63;67;3.1;75
Corinto;NI;Nicaragua;3620269;Corinto;NI;-87.17;12.48;31.12;52;2.22;0
Sigli;ID;Indonesia;1213821;Sigli;ID;95.96;5.38;25.42;92;2.32;20
Poronaysk;RU;Russian federation;2121909;Poronaysk;RU;143.1;49.22;-15.11;83;3.92;20
Sorland;NO;Norway;3137469;Sorland;NO;12.69;67.67;0.45;86;22.1;75
Santiago de cuba;CU;Cuba;3536729;Santiago de Cuba;CU;-75.83;20.03;28.37;45;2.6;40
Kita;ML;Mali;2455216;Kita;ML;-9.49;13.04;29.92;22;1.82;32
Parrita;CR;Costa rica;3622537;Parrita;CR;-84.33;9.52;26.5;44;7.2;0
Toba;JP;Japan;1850345;Toba;JP;136.83;34.47;5.0;86;5.7;75
Amasia;AM;Armenia;616971;Amasia;AM;43.79;40.96;-11.0;78;0.5;24
Haifa;IL;Israel;294801;Haifa;IL;35.0;32.82;13.0;58;3.6;0
Hovd;MN;Mongolia;1516048;Hovd;MN;91.64;48.01;-29.83;27;0.52;0
Preeceville;CA;Canada;6112862;Preeceville;CA;-102.67;51.95;-13.01;76;3.22;92
